"region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"MIDDLE ATLANTIC","$25000 OR MORE",NA,40,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$6000 TO 6999",NA,20,NA,"NEVER MARRIED","LT HIGH SCHOOL","GOOD","SCHOOL","IND NEAR DEM","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC",NA,NA,58,NA,"MARRIED","LT HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",41,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",69,"AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",31,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",30,"AVERAGE","NEVER MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",36,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",70,"ABOVE AVERAGE","WIDOWED","GRADUATE","FAIR","RETIRED","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",36,"AVERAGE","NEVER MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",68,"ABOVE AVERAGE","MARRIED","GRADUATE","GOOD","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",29,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,24,NA,"NEVER MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",52,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","OTHER PARTY","EXTREMELY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",53,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2006
"MIDDLE ATLANTIC",NA,NA,38,NA,"MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,68,NA,"MARRIED","LT HIGH SCHOOL","FAIR","RETIRED","NOT STR DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",59,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",35,"AVERAGE","MARRIED","BACHELOR",NA,"KEEPING HOUSE","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",39,"ABOVE AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC",NA,"VERY HAPPY",46,NA,"MARRIED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT",NA,"FEMALE",2006
"MIDDLE ATLANTIC",NA,"PRETTY HAPPY",70,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",48,"AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",54,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",88,NA,"WIDOWED","HIGH SCHOOL","FAIR","RETIRED","IND NEAR DEM","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",NA,NA,"DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME",NA,NA,"MALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",66,"AVERAGE","MARRIED","BACHELOR",NA,"RETIRED","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,62,NA,"MARRIED","BACHELOR","GOOD","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",36,"AVERAGE","MARRIED","GRADUATE",NA,"KEEPING HOUSE","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC",NA,"VERY HAPPY",71,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING PARTTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$15000 - 19999",NA,71,NA,"MARRIED","HIGH SCHOOL","POOR","RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,37,NA,"DIVORCED","BACHELOR","GOOD","SCHOOL","IND NEAR DEM","EXTREMELY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",33,"AVERAGE","SEPARATED","BACHELOR",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",42,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,28,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",55,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"OTHER","IND NEAR DEM","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",43,"AVERAGE","MARRIED","BACHELOR","GOOD","KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",74,"AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","NOT STR DEMOCRAT","LIBERAL","MALE",2006
"NEW ENGLAND","$25000 OR MORE","VERY HAPPY",32,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",2006
"NEW ENGLAND","REFUSED","VERY HAPPY",49,"AVERAGE","WIDOWED","BACHELOR",NA,"KEEPING HOUSE","IND NEAR DEM","MODERATE","FEMALE",2006
"NEW ENGLAND","$10000 - 14999","PRETTY HAPPY",32,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","TEMP NOT WORKING","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2006
"NEW ENGLAND","$7000 TO 7999","PRETTY HAPPY",48,"FAR BELOW AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING PARTTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",2006
"NEW ENGLAND","$25000 OR MORE","PRETTY HAPPY",33,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","UNEMPL LAID OFF","INDEPENDENT","MODERATE","FEMALE",2006
"NEW ENGLAND","REFUSED","PRETTY HAPPY",75,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,53,NA,"MARRIED","BACHELOR","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",44,"AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",85,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","POOR","RETIRED","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",58,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","STRONG DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",40,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",37,NA,"MARRIED","GRADUATE","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",26,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,45,NA,"MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,46,NA,"MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$5000 TO 5999","PRETTY HAPPY",23,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,43,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","STRONG DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$20000 - 24999","NOT TOO HAPPY",32,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC",NA,"PRETTY HAPPY",29,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",52,"FAR ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",75,"AVERAGE","NEVER MARRIED","GRADUATE","FAIR","RETIRED","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$4000 TO 4999","PRETTY HAPPY",60,"FAR ABOVE AVERAGE","DIVORCED","GRADUATE",NA,"RETIRED","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,38,NA,"MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",39,"ABOVE AVERAGE","MARRIED","GRADUATE",NA,"TEMP NOT WORKING","STRONG DEMOCRAT","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",39,"AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","INDEPENDENT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",29,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",31,"AVERAGE","NEVER MARRIED","GRADUATE",NA,"WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$20000 - 24999","VERY HAPPY",20,"AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$10000 - 14999",NA,49,NA,"MARRIED","LT HIGH SCHOOL","EXCELLENT","OTHER","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$6000 TO 6999","PRETTY HAPPY",26,"BELOW AVERAGE","NEVER MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$6000 TO 6999","NOT TOO HAPPY",37,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC",NA,NA,66,NA,"WIDOWED","BACHELOR","FAIR","WORKING PARTTIME","IND NEAR DEM","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","LT $1000","PRETTY HAPPY",67,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC",NA,NA,67,NA,"WIDOWED","LT HIGH SCHOOL","FAIR","RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",37,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",30,"AVERAGE","NEVER MARRIED","BACHELOR","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,70,NA,"WIDOWED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR REPUBLICAN","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",77,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","RETIRED","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,36,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$20000 - 24999",NA,75,NA,"SEPARATED","HIGH SCHOOL","FAIR","RETIRED","IND NEAR DEM","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,58,NA,"MARRIED","HIGH SCHOOL","GOOD","OTHER","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",42,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,35,NA,"MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",40,"AVERAGE","SEPARATED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",51,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",54,"AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,77,NA,"DIVORCED","HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,44,NA,"MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,NA,NA,"DIVORCED","GRADUATE","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",57,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",44,"ABOVE AVERAGE","DIVORCED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","INDEPENDENT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",51,"ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,34,NA,"MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",28,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",58,"AVERAGE","MARRIED","BACHELOR",NA,"SCHOOL","INDEPENDENT",NA,"FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,39,NA,"MARRIED","BACHELOR","POOR","KEEPING HOUSE","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","NOT TOO HAPPY",83,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","RETIRED","IND NEAR DEM","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",32,"ABOVE AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","EXTREMELY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,29,NA,"MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",53,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","$20000 - 24999","PRETTY HAPPY",31,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,34,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$20000 - 24999",NA,40,NA,"MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",27,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,35,NA,"MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",43,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","TEMP NOT WORKING","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",50,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",38,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,54,NA,"MARRIED","BACHELOR","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",39,"AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,32,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",26,"AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",23,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",39,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,38,NA,"MARRIED","GRADUATE","GOOD","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",50,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",56,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",31,"AVERAGE","NEVER MARRIED","BACHELOR","GOOD","UNEMPL LAID OFF","NOT STR DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",60,"BELOW AVERAGE","NEVER MARRIED","GRADUATE","EXCELLENT","UNEMPL LAID OFF","STRONG REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,32,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",68,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING PARTTIME","STRONG DEMOCRAT","LIBERAL","MALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,48,NA,"SEPARATED","GRADUATE","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,NA,NA,"WIDOWED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE",NA,60,NA,"MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","IND NEAR REP","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",58,"AVERAGE","DIVORCED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,58,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC",NA,NA,25,NA,"NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",49,"BELOW AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",22,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","STRONG DEMOCRAT","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",86,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","FAIR","RETIRED","IND NEAR DEM","SLGHTLY CONSERVATIVE","MALE",2006
"MIDDLE ATLANTIC","REFUSED",NA,51,NA,"MARRIED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",58,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",89,"AVERAGE","MARRIED","BACHELOR",NA,"RETIRED","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2006
"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",82,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
